user_id,city,visit_date,restaurant_viewed,added_to_cart,order_placed,payment_done,is_cancelled,order_delivered
U10052,Hyderabad,8/24/2023,Yes,0,0,0,0,0
U10053,Pune,6/4/2023,Yes,0,0,0,0,0
U10054,Delhi,7/19/2023,,0,0,0,0,0
U10055,Delhi,8/25/2023,,0,0,0,0,0
U10056,Kolkata,7/7/2023,Yes,1,1,1,0,1
U10057,Mumbai,12/20/2023,Yes,1,1,1,0,1
U10058,Hyderabad,4/1/2023,,0,0,0,0,0
U10059,Delhi,2/1/2023,,0,0,0,0,0
U10060,Chennai,9/19/2023,,0,0,0,0,0
U10061,Hyderabad,2/21/2023,Yes,0,0,0,0,0
U10062,Hyderabad,10/12/2023,Yes,0,0,0,0,0
U10063,Hyderabad,3/20/2023,,0,0,0,0,0
U10064,Chennai,2/5/2023,Yes,0,0,0,0,0
U10065,Hyderabad,11/14/2023,Yes,0,0,0,0,0
U10066,Kolkata,11/9/2023,Yes,1,0,0,0,0
U10067,Mumbai,10/11/2023,,0,0,0,0,0
U10068,Jaipur,8/28/2023,,0,0,0,0,0
U10069,Mumbai,5/14/2023,Yes,1,1,1,0,1
U10070,Hyderabad,11/24/2023,,0,0,0,0,0
U10071,Kolkata,12/9/2023,Yes,0,0,0,0,0
U10072,Kolkata,11/8/2023,Yes,0,0,0,0,0
U10073,Delhi,7/9/2023,Yes,0,0,0,0,0
U10074,Jaipur,3/3/2023,Yes,0,0,0,0,0
U10075,Bangalore,6/15/2023,Yes,1,1,1,0,1
U10076,Mumbai,8/30/2023,Yes,1,0,0,0,0
U10077,Pune,1/9/2023,Yes,1,1,1,1,0
U10078,Kolkata,8/15/2023,Yes,1,1,1,0,1
U10079,Delhi,9/7/2023,Yes,0,0,0,0,0
U10080,Mumbai,12/19/2023,Yes,1,1,1,0,1
U10081,Kolkata,8/20/2023,Yes,1,1,1,0,1
U10082,Jaipur,7/22/2023,Yes,1,1,1,1,0
U10083,Chennai,9/16/2023,Yes,1,0,0,0,0
U10084,Delhi,11/2/2023,Yes,0,0,0,0,0
U10085,Pune,3/29/2023,,0,0,0,0,0
U10086,Kolkata,6/1/2023,Yes,1,1,1,0,1
U10087,Chennai,6/5/2023,Yes,0,0,0,0,0
U10088,Delhi,2/6/2023,Yes,1,1,1,0,1
U10089,Delhi,7/10/2023,Yes,1,1,1,0,1
U10090,Mumbai,3/7/2023,,0,0,0,0,0
U10091,Mumbai,7/30/2023,Yes,1,0,0,0,0
U10092,Jaipur,3/11/2023,Yes,0,0,0,0,0
U10093,Pune,12/17/2023,Yes,1,0,0,0,0
U10094,Mumbai,12/8/2023,Yes,1,1,1,0,1
U10095,Kolkata,1/2/2023,,0,0,0,0,0
U10096,Mumbai,1/23/2023,Yes,1,0,0,0,0
U10097,Mumbai,2/28/2023,Yes,1,1,1,1,0
U10098,Jaipur,5/10/2023,,0,0,0,0,0
U10099,Chennai,7/7/2023,Yes,1,0,0,0,0
U10100,Pune,4/22/2023,Yes,1,1,1,1,0
U10101,Hyderabad,7/12/2023,,0,0,0,0,0
U10102,Kolkata,12/15/2023,Yes,1,0,0,0,0
U10103,Pune,8/29/2023,,0,0,0,0,0
U10104,Pune,9/15/2023,Yes,1,1,1,0,1
U10105,Kolkata,1/1/2023,Yes,1,0,0,0,0
U10106,Pune,10/23/2023,Yes,1,1,1,0,1
U10107,Kolkata,7/23/2023,Yes,1,1,0,0,1
U10108,Bangalore,6/22/2023,Yes,0,0,0,0,0
U10109,Jaipur,6/12/2023,Yes,1,0,0,0,0
U10110,Hyderabad,5/9/2023,,0,0,0,0,0
U10111,Pune,9/12/2023,Yes,1,0,0,0,0
U10112,Bangalore,10/23/2023,Yes,1,0,0,0,0
U10113,Mumbai,9/1/2023,Yes,1,1,1,1,0
U10114,Kolkata,8/18/2023,,0,0,0,0,0
U10115,Hyderabad,7/9/2023,Yes,0,0,0,0,0
U10116,Kolkata,12/26/2023,Yes,1,1,1,1,0
U10117,Chennai,8/20/2023,Yes,1,1,1,0,1
U10118,Jaipur,9/3/2023,,0,0,0,0,0
U10119,Kolkata,9/18/2023,,0,0,0,0,0
U10120,Jaipur,7/7/2023,,0,0,0,0,0
U10121,Hyderabad,2/28/2023,Yes,1,1,1,0,1
U10122,Pune,2/16/2023,Yes,1,1,0,1,0
U10123,Mumbai,10/11/2023,Yes,0,0,0,0,0
U10124,Delhi,10/27/2023,,0,0,0,0,0
U10125,Delhi,9/14/2023,Yes,1,1,1,0,0
U10126,Jaipur,10/9/2023,Yes,0,0,0,0,0
U10127,Pune,3/24/2023,,0,0,0,0,0
U10128,Pune,5/13/2023,Yes,1,1,1,1,0
U10129,Mumbai,12/17/2023,Yes,0,0,0,0,0
U10130,Hyderabad,2/6/2023,Yes,1,1,1,0,1
U10131,Bangalore,8/25/2023,Yes,1,1,1,0,1
U10132,Jaipur,3/30/2023,Yes,1,1,1,0,1
U10133,Chennai,6/20/2023,,0,0,0,0,0
U10134,Kolkata,7/25/2023,Yes,0,0,0,0,0
U10135,Kolkata,1/9/2023,,0,0,0,0,0
U10136,Jaipur,9/24/2023,Yes,1,1,1,0,1
U10137,Bangalore,9/19/2023,,0,0,0,0,0
U10138,Mumbai,11/2/2023,Yes,0,0,0,0,0
U10139,Jaipur,4/7/2023,Yes,1,0,0,0,0
U10140,Hyderabad,8/7/2023,Yes,0,0,0,0,0
U10141,Kolkata,1/27/2023,Yes,1,1,1,0,1
U10142,Mumbai,1/19/2023,Yes,1,0,0,0,0
U10143,Kolkata,5/17/2023,,0,0,0,0,0
U10144,Chennai,7/6/2023,,0,0,0,0,0
U10145,Hyderabad,10/8/2023,Yes,1,1,1,0,1
U10146,Hyderabad,3/8/2023,Yes,1,1,1,0,1
U10147,Chennai,6/27/2023,Yes,1,1,1,0,1
U10148,Jaipur,4/28/2023,Yes,1,1,1,0,1
U10149,Jaipur,3/11/2023,Yes,1,1,1,0,1
U10150,Mumbai,6/13/2023,Yes,0,0,0,0,0
U10151,Delhi,3/11/2023,Yes,0,0,0,0,0
U10152,Bangalore,4/28/2023,Yes,0,0,0,0,0
U10153,Jaipur,6/8/2023,,0,0,0,0,0
U10154,Kolkata,5/17/2023,Yes,1,1,1,0,1
U10155,Bangalore,1/10/2023,Yes,1,0,0,0,0
U10156,Hyderabad,8/25/2023,Yes,1,1,1,0,1
U10157,Chennai,10/18/2023,Yes,1,1,0,0,1
U10158,Mumbai,7/3/2023,Yes,1,1,1,0,0
U10159,Delhi,1/8/2023,Yes,0,0,0,0,0
U10160,Jaipur,3/2/2023,Yes,0,0,0,0,0
U10161,Delhi,7/3/2023,,0,0,0,0,0
U10162,Chennai,8/6/2023,,0,0,0,0,0
U10163,Mumbai,5/2/2023,Yes,1,1,1,0,1
U10164,Chennai,3/18/2023,Yes,1,1,1,1,0
U10165,Chennai,1/10/2023,Yes,1,1,1,0,1
U10166,Hyderabad,8/6/2023,,0,0,0,0,0
U10167,Bangalore,10/27/2023,Yes,0,0,0,0,0
U10168,Chennai,3/30/2023,Yes,0,0,0,0,0
U10169,Delhi,6/28/2023,Yes,1,1,1,1,0
U10170,Bangalore,9/5/2023,Yes,1,0,0,0,0
U10171,Hyderabad,8/1/2023,Yes,1,1,1,1,0
U10172,Chennai,8/8/2023,Yes,0,0,0,0,0
U10173,Kolkata,1/13/2023,Yes,1,1,1,0,1
U10174,Delhi,4/9/2023,Yes,1,1,1,0,1
U10175,Delhi,9/26/2023,,0,0,0,0,0
U10176,Jaipur,11/17/2023,,0,0,0,0,0
U10177,Pune,8/29/2023,,0,0,0,0,0
U10178,Pune,12/19/2023,Yes,0,0,0,0,0
U10179,Mumbai,12/21/2023,Yes,1,1,1,1,0
U10180,Kolkata,12/25/2023,Yes,1,1,1,0,1
U10181,Delhi,2/18/2023,,0,0,0,0,0
U10182,Kolkata,10/11/2023,Yes,1,1,1,0,1
U10183,Mumbai,1/4/2023,,0,0,0,0,0
U10184,Pune,5/19/2023,Yes,1,1,1,0,1
U10185,Mumbai,9/27/2023,Yes,1,0,0,0,0
U10186,Delhi,10/24/2023,Yes,1,1,1,0,1
U10187,Delhi,5/25/2023,Yes,1,1,1,1,0
U10188,Delhi,11/29/2023,Yes,1,1,1,0,1
U10189,Kolkata,6/10/2023,Yes,1,0,0,0,0
U10190,Delhi,10/9/2023,,0,0,0,0,0
U10191,Bangalore,11/28/2023,Yes,1,0,0,0,0
U10192,Kolkata,4/20/2023,Yes,1,0,0,0,0
U10193,Pune,5/28/2023,,0,0,0,0,0
U10194,Delhi,4/27/2023,Yes,1,1,1,0,1
U10195,Bangalore,3/30/2023,Yes,1,1,1,0,1
U10196,Pune,3/30/2023,Yes,0,0,0,0,0
U10197,Bangalore,7/8/2023,,0,0,0,0,0
U10198,Jaipur,1/27/2023,Yes,0,0,0,0,0
U10199,Hyderabad,8/25/2023,Yes,1,1,1,0,1
U10200,Mumbai,3/26/2023,,0,0,0,0,0
U10201,Kolkata,3/9/2023,Yes,1,1,1,0,1
U10202,Chennai,10/27/2023,,0,0,0,0,0
U10203,Jaipur,3/20/2023,Yes,0,0,0,0,0
U10204,Delhi,8/13/2023,Yes,1,1,1,1,0
U10205,Bangalore,5/2/2023,Yes,1,0,0,0,0
U10206,Kolkata,3/3/2023,Yes,1,1,1,0,1
U10207,Mumbai,10/18/2023,Yes,1,0,0,0,0
U10208,Chennai,7/20/2023,Yes,0,0,0,0,0
U10209,Jaipur,4/1/2023,Yes,0,0,0,0,0
U10210,Mumbai,3/19/2023,,0,0,0,0,0
U10211,Mumbai,4/30/2023,Yes,1,1,1,0,1
U10212,Pune,5/16/2023,Yes,0,0,0,0,0
U10213,Chennai,6/2/2023,Yes,1,1,0,1,0
U10214,Delhi,1/19/2023,Yes,1,1,1,1,0
U10215,Bangalore,3/9/2023,Yes,1,1,1,0,1
U10216,Chennai,11/8/2023,,0,0,0,0,0
U10217,Hyderabad,10/16/2023,,0,0,0,0,0
U10218,Chennai,3/12/2023,Yes,1,1,1,0,1
U10219,Jaipur,11/30/2023,Yes,1,1,1,0,1
U10220,Chennai,9/10/2023,Yes,1,1,1,1,0
U10221,Kolkata,3/15/2023,,0,0,0,0,0
U10222,Delhi,1/10/2023,Yes,1,0,0,0,0
U10223,Kolkata,5/3/2023,Yes,1,1,1,0,1
U10224,Jaipur,12/16/2023,,0,0,0,0,0
U10225,Hyderabad,3/11/2023,Yes,0,0,0,0,0
U10226,Pune,8/27/2023,Yes,1,1,1,1,0
U10227,Bangalore,10/15/2023,Yes,1,1,1,1,0
U10228,Pune,5/15/2023,Yes,1,0,0,0,0
U10229,Delhi,7/25/2023,,0,0,0,0,0
U10230,Chennai,10/30/2023,Yes,1,1,1,0,1
U10231,Pune,12/6/2023,Yes,1,1,1,0,1
U10232,Chennai,3/3/2023,Yes,1,0,0,0,0
U10233,Pune,5/8/2023,Yes,1,1,1,0,1
U10234,Mumbai,9/1/2023,Yes,1,0,0,0,0
U10235,Kolkata,3/18/2023,Yes,0,0,0,0,0
U10236,Kolkata,4/20/2023,Yes,1,1,1,0,1
U10237,Jaipur,7/25/2023,,0,0,0,0,0
U10238,Kolkata,8/31/2023,Yes,1,0,0,0,0
U10239,Kolkata,6/25/2023,Yes,0,0,0,0,0
U10240,Hyderabad,3/28/2023,Yes,0,0,0,0,0
U10241,Delhi,4/22/2023,,0,0,0,0,0
U10242,Jaipur,9/4/2023,Yes,0,0,0,0,0
U10243,Jaipur,8/13/2023,Yes,0,0,0,0,0
U10244,Pune,11/5/2023,Yes,1,0,0,0,0
U10245,Pune,7/21/2023,Yes,1,1,1,0,1
U10246,Delhi,7/29/2023,Yes,1,1,1,0,1
U10247,Chennai,11/17/2023,Yes,1,0,0,0,0
U10248,Bangalore,4/12/2023,,0,0,0,0,0
U10249,Pune,8/21/2023,Yes,1,0,0,0,0
U10250,Pune,9/26/2023,,0,0,0,0,0
U10251,Kolkata,9/10/2023,Yes,0,0,0,0,0
U10252,Jaipur,10/30/2023,Yes,0,0,0,0,0
U10253,Hyderabad,5/8/2023,Yes,1,1,1,0,1
U10254,Bangalore,3/12/2023,Yes,0,0,0,0,0
U10255,Mumbai,11/3/2023,,0,0,0,0,0
U10256,Delhi,5/6/2023,,0,0,0,0,0
U10257,Chennai,3/16/2023,Yes,1,1,1,0,1
U10258,Kolkata,2/18/2023,Yes,1,0,0,0,0
U10259,Jaipur,12/29/2023,Yes,1,1,0,0,1
U10260,Hyderabad,7/27/2023,,0,0,0,0,0
U10261,Kolkata,4/24/2023,Yes,1,0,0,0,0
U10262,Mumbai,2/27/2023,,0,0,0,0,0
U10263,Delhi,11/27/2023,Yes,0,0,0,0,0
U10264,Jaipur,2/26/2023,Yes,0,0,0,0,0
U10265,Chennai,9/12/2023,Yes,1,0,0,0,0
U10266,Jaipur,4/26/2023,Yes,1,0,0,0,0
U10267,Delhi,2/10/2023,Yes,0,0,0,0,0
U10268,Hyderabad,4/18/2023,Yes,1,0,0,0,0
U10269,Jaipur,6/15/2023,Yes,1,1,1,0,1
U10270,Delhi,4/10/2023,,0,0,0,0,0
U10271,Pune,4/19/2023,,0,0,0,0,0
U10272,Hyderabad,4/4/2023,Yes,1,1,1,0,1
U10273,Hyderabad,9/6/2023,,0,0,0,0,0
U10274,Chennai,1/28/2023,Yes,0,0,0,0,0
U10275,Chennai,10/14/2023,Yes,1,1,1,0,1
U10276,Jaipur,8/15/2023,,0,0,0,0,0
U10277,Jaipur,11/5/2023,Yes,1,1,0,0,1
U10278,Pune,4/15/2023,,0,0,0,0,0
U10279,Bangalore,1/29/2023,Yes,1,1,1,0,1
U10280,Mumbai,8/5/2023,Yes,1,1,1,0,1
U10281,Hyderabad,12/17/2023,Yes,0,0,0,0,0
U10282,Jaipur,5/27/2023,Yes,1,1,1,0,1
U10283,Delhi,3/19/2023,Yes,0,0,0,0,0
U10284,Kolkata,10/1/2023,Yes,0,0,0,0,0
U10285,Chennai,4/10/2023,,0,0,0,0,0
U10286,Hyderabad,4/13/2023,,0,0,0,0,0
U10287,Bangalore,8/2/2023,Yes,1,1,1,0,1
U10288,Kolkata,4/24/2023,Yes,1,1,1,1,0
U10289,Pune,12/15/2023,Yes,1,0,0,0,0
U10290,Hyderabad,8/21/2023,Yes,1,1,1,0,1
U10291,Hyderabad,10/27/2023,,0,0,0,0,0
U10292,Pune,11/3/2023,Yes,1,0,0,0,0
U10293,Jaipur,12/29/2023,,0,0,0,0,0
U10294,Bangalore,8/6/2023,Yes,1,1,1,0,1
U10295,Chennai,9/12/2023,Yes,0,0,0,0,0
U10296,Delhi,3/14/2023,Yes,1,1,1,0,1
U10297,Chennai,5/30/2023,,0,0,0,0,0
U10298,Jaipur,11/19/2023,,0,0,0,0,0
U10299,Chennai,2/21/2023,,0,0,0,0,0
U10300,Delhi,8/16/2023,,0,0,0,0,0
U10301,Chennai,1/8/2023,,0,0,0,0,0
U10302,Bangalore,5/31/2023,,0,0,0,0,0
U10303,Jaipur,10/17/2023,Yes,1,1,1,0,1
U10304,Delhi,2/6/2023,Yes,1,0,0,0,0
U10305,Chennai,6/7/2023,Yes,1,1,1,0,1
U10306,Delhi,6/20/2023,Yes,1,1,1,0,1
U10307,Delhi,6/10/2023,Yes,0,0,0,0,0
U10308,Pune,1/31/2023,Yes,1,0,0,0,0
U10309,Delhi,11/4/2023,Yes,0,0,0,0,0
U10310,Bangalore,12/27/2023,,0,0,0,0,0
U10311,Delhi,10/20/2023,,0,0,0,0,0
U10312,Bangalore,10/13/2023,Yes,1,1,1,0,1
U10313,Hyderabad,7/20/2023,Yes,0,0,0,0,0
U10314,Hyderabad,5/3/2023,Yes,1,1,1,0,1
U10315,Kolkata,2/13/2023,Yes,1,1,1,0,0
U10316,Chennai,4/21/2023,Yes,1,1,1,0,1
U10317,Hyderabad,6/16/2023,,0,0,0,0,0
U10318,Pune,1/12/2023,,0,0,0,0,0
U10319,Hyderabad,3/10/2023,Yes,0,0,0,0,0
U10320,Kolkata,8/5/2023,Yes,1,0,0,0,0
U10321,Bangalore,6/1/2023,,0,0,0,0,0
U10322,Jaipur,6/29/2023,,0,0,0,0,0
U10323,Bangalore,12/4/2023,,0,0,0,0,0
U10324,Kolkata,8/26/2023,Yes,0,0,0,0,0
U10325,Pune,12/7/2023,Yes,1,1,1,0,1
U10326,Hyderabad,5/28/2023,Yes,1,1,1,0,1
U10327,Hyderabad,5/3/2023,Yes,1,0,0,0,0
U10328,Delhi,10/31/2023,Yes,0,0,0,0,0
U10329,Pune,4/30/2023,Yes,0,0,0,0,0
U10330,Delhi,7/21/2023,Yes,1,1,1,0,0
U10331,Pune,4/2/2023,,0,0,0,0,0
U10332,Bangalore,10/28/2023,Yes,1,1,1,0,1
U10333,Bangalore,5/9/2023,Yes,1,1,1,0,1
U10334,Bangalore,5/2/2023,Yes,1,1,1,1,0
U10335,Chennai,10/26/2023,Yes,0,0,0,0,0
U10336,Delhi,7/5/2023,Yes,1,1,1,0,1
U10337,Bangalore,2/10/2023,Yes,1,1,1,0,1
U10338,Chennai,6/16/2023,Yes,1,1,1,0,1
U10339,Hyderabad,2/11/2023,Yes,1,1,1,0,0
U10340,Delhi,9/26/2023,Yes,0,0,0,0,0
U10341,Delhi,3/19/2023,Yes,1,1,1,0,1
U10342,Hyderabad,9/14/2023,Yes,1,0,0,0,0
U10343,Bangalore,5/17/2023,Yes,0,0,0,0,0
U10344,Delhi,9/21/2023,Yes,0,0,0,0,0
U10345,Kolkata,12/28/2023,Yes,0,0,0,0,0
U10346,Jaipur,3/31/2023,Yes,0,0,0,0,0
U10347,Hyderabad,3/25/2023,Yes,1,1,1,0,1
U10348,Bangalore,12/31/2023,Yes,1,1,1,0,0
U10349,Delhi,4/28/2023,Yes,1,0,0,0,0
U10350,Mumbai,1/4/2023,Yes,0,0,0,0,0
U10351,Delhi,12/17/2023,Yes,1,1,1,0,1
U10352,Hyderabad,5/22/2023,Yes,0,0,0,0,0
U10353,Bangalore,10/18/2023,Yes,0,0,0,0,0
U10354,Bangalore,8/23/2023,Yes,0,0,0,0,0
U10355,Delhi,6/22/2023,Yes,1,1,1,0,1
U10356,Hyderabad,6/8/2023,Yes,0,0,0,0,0
U10357,Delhi,10/24/2023,Yes,1,0,0,0,0
U10358,Mumbai,9/23/2023,,0,0,0,0,0
U10359,Chennai,7/16/2023,Yes,0,0,0,0,0
U10360,Mumbai,9/18/2023,,0,0,0,0,0
U10361,Bangalore,10/24/2023,,0,0,0,0,0
U10362,Mumbai,6/5/2023,Yes,0,0,0,0,0
U10363,Delhi,2/14/2023,Yes,1,1,1,0,1
U10364,Bangalore,3/1/2023,Yes,0,0,0,0,0
U10365,Delhi,9/20/2023,,0,0,0,0,0
U10366,Delhi,4/29/2023,,0,0,0,0,0
U10367,Pune,12/5/2023,,0,0,0,0,0
U10368,Delhi,5/18/2023,,0,0,0,0,0
U10369,Pune,11/20/2023,,0,0,0,0,0
U10370,Chennai,7/30/2023,Yes,1,1,1,0,1
U10371,Delhi,8/15/2023,Yes,1,1,1,0,1
U10372,Delhi,2/16/2023,Yes,1,0,0,0,0
U10373,Pune,6/5/2023,Yes,1,1,1,0,1
U10374,Bangalore,3/12/2023,Yes,0,0,0,0,0
U10375,Pune,10/18/2023,,0,0,0,0,0
U10376,Mumbai,1/18/2023,Yes,0,0,0,0,0
U10377,Kolkata,11/25/2023,Yes,1,1,1,0,1
U10378,Bangalore,1/15/2023,Yes,1,1,1,0,1
U10379,Jaipur,5/2/2023,Yes,1,1,1,0,1
U10380,Kolkata,9/24/2023,Yes,1,1,1,0,1
U10381,Delhi,8/16/2023,Yes,0,0,0,0,0
U10382,Mumbai,1/10/2023,,0,0,0,0,0
U10383,Delhi,2/18/2023,Yes,0,0,0,0,0
U10384,Mumbai,9/3/2023,Yes,1,1,1,0,1
U10385,Delhi,10/8/2023,Yes,1,0,0,0,0
U10386,Bangalore,7/25/2023,Yes,1,1,1,0,1
U10387,Hyderabad,8/10/2023,Yes,0,0,0,0,0
U10388,Kolkata,1/26/2023,Yes,1,1,1,0,1
U10389,Pune,5/27/2023,Yes,0,0,0,0,0
U10390,Pune,12/10/2023,,0,0,0,0,0
U10391,Mumbai,8/8/2023,Yes,0,0,0,0,0
U10392,Mumbai,10/5/2023,Yes,0,0,0,0,0
U10393,Kolkata,5/8/2023,Yes,1,1,1,0,1
U10394,Kolkata,1/30/2023,Yes,1,1,1,0,1
U10395,Mumbai,1/25/2023,,0,0,0,0,0
U10396,Jaipur,10/25/2023,Yes,1,0,0,0,0
U10397,Jaipur,2/28/2023,Yes,1,1,1,0,1
U10398,Kolkata,11/8/2023,Yes,1,1,1,0,1
U10399,Kolkata,12/19/2023,,0,0,0,0,0
U10400,Delhi,6/3/2023,Yes,1,0,0,0,0
U10401,Hyderabad,11/11/2023,,0,0,0,0,0
U10402,Hyderabad,12/12/2023,,0,0,0,0,0
U10403,Chennai,3/3/2023,Yes,1,1,1,0,1
U10404,Kolkata,7/12/2023,Yes,1,1,1,0,1
U10405,Jaipur,9/14/2023,Yes,1,1,1,0,1
U10406,Hyderabad,4/13/2023,Yes,1,0,0,0,0
U10407,Chennai,3/12/2023,,0,0,0,0,0
U10408,Kolkata,5/24/2023,Yes,1,1,1,1,0
U10409,Delhi,8/5/2023,,0,0,0,0,0
U10410,Pune,3/9/2023,,0,0,0,0,0
U10411,Bangalore,12/6/2023,Yes,1,1,1,0,1
U10412,Jaipur,1/13/2023,Yes,1,1,1,0,1
U10413,Mumbai,6/28/2023,Yes,0,0,0,0,0
U10414,Chennai,10/14/2023,Yes,1,1,1,0,1
U10415,Hyderabad,11/18/2023,Yes,1,0,0,0,0
U10416,Pune,6/6/2023,Yes,1,1,1,0,1
U10417,Bangalore,10/4/2023,,0,0,0,0,0
U10418,Hyderabad,7/22/2023,Yes,1,1,0,1,0
U10419,Delhi,7/23/2023,Yes,1,1,1,0,1
U10420,Pune,8/13/2023,,0,0,0,0,0
U10421,Mumbai,11/21/2023,Yes,1,1,1,0,1
U10422,Bangalore,2/4/2023,Yes,1,0,0,0,0
U10423,Chennai,1/14/2023,,0,0,0,0,0
U10424,Delhi,9/14/2023,Yes,1,1,1,1,0
U10425,Chennai,5/14/2023,,0,0,0,0,0
U10426,Bangalore,4/10/2023,Yes,1,1,0,0,1
U10427,Bangalore,12/11/2023,Yes,1,0,0,0,0
U10428,Delhi,3/5/2023,Yes,1,1,1,1,0
U10429,Pune,11/7/2023,Yes,0,0,0,0,0
U10430,Chennai,4/10/2023,Yes,1,1,0,0,1
U10431,Bangalore,5/29/2023,Yes,1,1,1,0,1
U10432,Hyderabad,2/26/2023,Yes,1,0,0,0,0
U10433,Jaipur,11/22/2023,Yes,0,0,0,0,0
U10434,Chennai,10/13/2023,Yes,1,1,1,1,0
U10435,Delhi,2/1/2023,Yes,1,1,1,0,1
U10436,Chennai,4/17/2023,Yes,1,1,1,0,1
U10437,Kolkata,9/13/2023,,0,0,0,0,0
U10438,Jaipur,11/8/2023,,0,0,0,0,0
U10439,Pune,7/14/2023,Yes,0,0,0,0,0
U10440,Delhi,10/21/2023,Yes,1,1,1,0,1
U10441,Bangalore,10/15/2023,Yes,0,0,0,0,0
U10442,Kolkata,12/30/2023,Yes,1,1,1,0,1
U10443,Hyderabad,4/11/2023,Yes,1,1,1,0,1
U10444,Jaipur,12/20/2023,Yes,0,0,0,0,0
U10445,Bangalore,11/18/2023,Yes,1,1,1,0,1
U10446,Pune,3/29/2023,,0,0,0,0,0
U10447,Pune,10/30/2023,Yes,0,0,0,0,0
U10448,Delhi,10/15/2023,,0,0,0,0,0
U10449,Hyderabad,8/23/2023,Yes,0,0,0,0,0
U10450,Delhi,10/28/2023,Yes,0,0,0,0,0
U10451,Mumbai,7/19/2023,Yes,1,1,1,0,1
U10452,Pune,9/25/2023,Yes,1,1,1,0,1
U10453,Delhi,8/9/2023,,0,0,0,0,0
U10454,Pune,2/23/2023,Yes,1,1,1,0,1
U10455,Delhi,1/10/2023,Yes,1,1,1,0,1
U10456,Jaipur,5/7/2023,Yes,0,0,0,0,0
U10457,Chennai,5/31/2023,Yes,0,0,0,0,0
U10458,Delhi,1/29/2023,Yes,1,1,1,0,1
U10459,Pune,8/3/2023,Yes,1,0,0,0,0
U10460,Kolkata,8/8/2023,Yes,1,0,0,0,0
U10461,Chennai,12/25/2023,Yes,1,1,1,0,1
U10462,Hyderabad,12/4/2023,Yes,0,0,0,0,0
U10463,Chennai,8/15/2023,Yes,1,1,1,0,1
U10464,Chennai,12/22/2023,Yes,1,1,1,0,1
